image_filename,mdx_page,status,description
at-mentions-at-mentions-reads-file-content.gif,at-mentions.mdx,used,At Mentions At Mentions Reads File Content
at-mentions-at-mentions.gif,at-mentions.mdx,used,At Mentions At Mentions
autonomy-modes-auto-edit-mode-creates-files-a.gif,autonomy-modes.mdx,used,Autonomy Modes Auto Edit Mode Creates Files A
autonomy-modes-autonomy-mode.gif,NOT_USED,unused,Autonomy Modes Autonomy Mode
claude-cli-using-claude-model-for-creativ.gif,claude-cli.mdx,used,Claude Cli Using Claude Model For Creativ
claude-memory-claude-memory-stores-preferenc.gif,claude-memory.mdx,used,Claude Memory Claude Memory Stores Preferenc
claude-memory-claude-memory.gif,NOT_USED,unused,Claude Memory Claude Memory
cli-basic-math-calculation.gif,cli.mdx,used,Cli Basic Math Calculation
cli-direct-prompt-execution.gif,cli.mdx,used,Cli Direct Prompt Execution
cli-verbose-mode-shows-execution-d.gif,cli.mdx,used,Cli Verbose Mode Shows Execution D
cli-verbose-mode.gif,NOT_USED,unused,Cli Verbose Mode
cli-with-specific-model.gif,cli.mdx,used,Cli With Specific Model
codex-cli-codex-cli-for-code-improvement.gif,codex-cli.mdx,used,Codex Cli Codex Cli For Code Improvement
commit-git-commit-helper.gif,commit.mdx,used,Commit Git Commit Helper
cost-tracking-cost-tracking-monitors-api-exp.gif,cost-tracking.mdx,used,Cost Tracking Cost Tracking Monitors Api Exp
cost-tracking-cost-tracking.gif,NOT_USED,unused,Cost Tracking Cost Tracking
cursor-cli-cursor-cli-for-code-refactorin.gif,cursor-cli.mdx,used,Cursor Cli Cursor Cli For Code Refactorin
deep-research-deep-research.gif,deep-research.mdx,used,Deep Research Deep Research
docs-list-docs.gif,NOT_USED,unused,Docs List Docs
docs-list-project-documentation.gif,docs.mdx,used,Docs List Project Documentation
eval-eval-mode-for-testing.gif,eval.mdx,used,Eval Eval Mode For Testing
external-agents-external-agent-codex.gif,NOT_USED,unused,External Agents External Agent Codex
fast-context-fast-context.gif,fast-context.mdx,used,Fast Context Fast Context
flow-display-flow-display-shows-workflow-di.gif,flow-display.mdx,used,Flow Display Flow Display Shows Workflow Di
gemini-cli-using-gemini-model-for-explana.gif,gemini-cli.mdx,used,Gemini Cli Using Gemini Model For Explana
guardrail-guardrail-validates-output-qua.gif,guardrail.mdx,used,Guardrail Guardrail Validates Output Qua
guardrails-guardrail-validation.gif,NOT_USED,unused,Guardrails Guardrail Validation
hooks-list-event-hooks.gif,hooks.mdx,used,Hooks List Event Hooks
hooks-list-hooks.gif,NOT_USED,unused,Hooks List Hooks
hooks-manage-event-driven-hooks.gif,hooks.mdx,used,Hooks Manage Event Driven Hooks
knowledge-list-knowledge.gif,knowledge.mdx,used,Knowledge List Knowledge
mcp-list-mcp-servers.gif,mcp.mdx,used,Mcp List Mcp Servers
mcp-manage-mcp-server-configuratio.gif,mcp.mdx,used,Mcp Manage Mcp Server Configuratio
memory-manage-persistent-memory-for-a.gif,memory.mdx,used,Memory Manage Persistent Memory For A
memory-show-memories.gif,NOT_USED,unused,Memory Show Memories
memory-show-stored-memories.gif,memory.mdx,used,Memory Show Stored Memories
